category_slug,subcategory_slug,macro_bloco
1_alimentacao,acougue,ESSENCIAL
1_alimentacao,barzinho,ESTILO_DE_VIDA
1_alimentacao,bebidas,ESTILO_DE_VIDA
1_alimentacao,bebidas_alcoolica,ESTILO_DE_VIDA
1_alimentacao,bebidas_outros,ESTILO_DE_VIDA
1_alimentacao,bolo,ESTILO_DE_VIDA
1_alimentacao,carne,ESSENCIAL
1_alimentacao,cafe_lanche,ESTILO_DE_VIDA
1_alimentacao,cafeteria,ESTILO_DE_VIDA
1_alimentacao,cerveja,ESTILO_DE_VIDA
1_alimentacao,cha,ESSENCIAL
1_alimentacao,churrasco,ESTILO_DE_VIDA
1_alimentacao,comida_japonesa,ESTILO_DE_VIDA
1_alimentacao,delivery,ESTILO_DE_VIDA
1_alimentacao,doce,ESTILO_DE_VIDA
1_alimentacao,emporio_diversos,ESSENCIAL
1_alimentacao,espetinho,ESTILO_DE_VIDA
1_alimentacao,frango_assado,ESTILO_DE_VIDA
1_alimentacao,feira,ESSENCIAL
1_alimentacao,lanche_lanchonete,ESTILO_DE_VIDA
1_alimentacao,marmita,ESSENCIAL
1_alimentacao,massas,ESSENCIAL
1_alimentacao,oleaginosas,ESSENCIAL
1_alimentacao,outros_alimentos,ESSENCIAL
1_alimentacao,outros_atualizacao,
1_alimentacao,padaria,ESSENCIAL
1_alimentacao,pizza_pizzaria,ESTILO_DE_VIDA
1_alimentacao,refeicao_almoco_janta,ESSENCIAL
1_alimentacao,restaurante,ESTILO_DE_VIDA
1_alimentacao,sorveteria,ESTILO_DE_VIDA
1_alimentacao,supermercado,ESSENCIAL
1_alimentacao,suplemento,ESTILO_DE_VIDA
1_alimentacao,varejao,ESSENCIAL
1_alimentacao,vinho,ESTILO_DE_VIDA
1_alimentacao,ajuste,
2_habitacao,agua,ESSENCIAL
2_habitacao,aluguel,ESSENCIAL
2_habitacao,artigos_de_limpeza,ESSENCIAL
2_habitacao,condominio,ESSENCIAL
2_habitacao,empregada_diarista,ESSENCIAL
2_habitacao,energia_eletrica,ESSENCIAL
2_habitacao,financiamento,ESSENCIAL
2_habitacao,gas,ESSENCIAL
2_habitacao,iptu,ESSENCIAL
2_habitacao,jardinagem,ESSENCIAL
2_habitacao,manutencao_reparo,ESSENCIAL
2_habitacao,mudanca,ESSENCIAL
2_habitacao,outros_habitacao,ESSENCIAL
2_habitacao,reforma,ESSENCIAL
2_habitacao,servicos_de_limpeza,ESSENCIAL
2_habitacao,taxa_de_agua_e_esgoto,ESSENCIAL
2_habitacao,taxa_de_energia_eletrica,ESSENCIAL
3_art_residencia,ap_eletroeletronicos,ESTILO_DE_VIDA
3_art_residencia,ar_condicionado,ESTILO_DE_VIDA
3_art_residencia,artigos_de_iluminacao,ESTILO_DE_VIDA
3_art_residencia,artigos_casa_inteligente,ESTILO_DE_VIDA
3_art_residencia,cama_mesa_e_banho,ESTILO_DE_VIDA
3_art_residencia,chaveiro,ESSENCIAL
3_art_residencia,chuveiro_eletrico,ESSENCIAL
3_art_residencia,cofre,ESTILO_DE_VIDA
3_art_residencia,computador_notebook,ESTILO_DE_VIDA
3_art_residencia,conserto_de_ap_celular,ESTILO_DE_VIDA
3_art_residencia,conserto_de_bicicleta,ESTILO_DE_VIDA
3_art_residencia,conserto_diversos,ESSENCIAL
3_art_residencia,conserto_de_eletronicos,ESSENCIAL
3_art_residencia,cortina,ESTILO_DE_VIDA
3_art_residencia,eletrica_hidraulica,ESSENCIAL
3_art_residencia,eletrodomestico,ESSENCIAL
3_art_residencia,ferramentas,ESSENCIAL
3_art_residencia,flores_artificiais,ESTILO_DE_VIDA
3_art_residencia,flores_naturais,ESTILO_DE_VIDA
3_art_residencia,fogao,ESSENCIAL
3_art_residencia,fornecedor,ESTILO_DE_VIDA
3_art_residencia,fornecedor_de_metal,ESTILO_DE_VIDA
3_art_residencia,informatica,ESTILO_DE_VIDA
3_art_residencia,jardinagem,ESTILO_DE_VIDA
3_art_residencia,manutencao,ESSENCIAL
3_art_residencia,manutencao_eletronicos,ESSENCIAL
3_art_residencia,maquina_de_lavar_roupa,ESSENCIAL
3_art_residencia,materiais_de_construcao,ESTILO_DE_VIDA
3_art_residencia,movel,ESTILO_DE_VIDA
3_art_residencia,outros,ESTILO_DE_VIDA
3_art_residencia,pintura,ESTILO_DE_VIDA
3_art_residencia,reforma,ESSENCIAL
3_art_residencia,reforma_de_estofado,ESTILO_DE_VIDA
3_art_residencia,reforma_da_residencia,ESTILO_DE_VIDA
3_art_residencia,refrigerador,ESSENCIAL
3_art_residencia,serralheria,ESSENCIAL
3_art_residencia,tapete,ESTILO_DE_VIDA
3_art_residencia,utensilios_e_enfeites,ESTILO_DE_VIDA
3_art_residencia,ventilador,ESTILO_DE_VIDA
4_vestuario,acessorios,ESTILO_DE_VIDA
4_vestuario,artigos_de_armarinho,ESTILO_DE_VIDA
4_vestuario,blusa,ESTILO_DE_VIDA
4_vestuario,blusinha,ESTILO_DE_VIDA
4_vestuario,bolsa,ESTILO_DE_VIDA
4_vestuario,calca,ESTILO_DE_VIDA
4_vestuario,calcado,ESTILO_DE_VIDA
4_vestuario,camiseta,ESTILO_DE_VIDA
4_vestuario,chinelo,ESTILO_DE_VIDA
4_vestuario,conserto_em_sapataria,ESTILO_DE_VIDA
4_vestuario,cueca,ESTILO_DE_VIDA
4_vestuario,joias_bijuterias,ESTILO_DE_VIDA
4_vestuario,lingerie,ESTILO_DE_VIDA
4_vestuario,mochila,ESTILO_DE_VIDA
4_vestuario,oculos,ESTILO_DE_VIDA
4_vestuario,oculos_de_grau,ESSENCIAL
4_vestuario,oculos_de_sol,ESTILO_DE_VIDA
4_vestuario,outros_vestuario,ESTILO_DE_VIDA
4_vestuario,relogio_de_pulso,ESTILO_DE_VIDA
4_vestuario,roupa_feminina,ESTILO_DE_VIDA
4_vestuario,roupa_infantil,ESTILO_DE_VIDA
4_vestuario,roupa_masculina,ESTILO_DE_VIDA
4_vestuario,roupa_diversos,ESTILO_DE_VIDA
4_vestuario,sandalia,ESTILO_DE_VIDA
4_vestuario,sapato,ESTILO_DE_VIDA
4_vestuario,tecido,ESTILO_DE_VIDA
4_vestuario,tenis,ESTILO_DE_VIDA
4_vestuario,uniforme_outros,ESSENCIAL
4_vestuario,uniforme_de_trabalho,ESSENCIAL
4_vestuario,uniforme_escolar,ESSENCIAL
5_transporte,abastecimento,ESSENCIAL
5_transporte,acessorios_e_pecas,ESSENCIAL
5_transporte,aluguel_de_veiculo,ESTILO_DE_VIDA
5_transporte,automovel_novo,ESTILO_DE_VIDA
5_transporte,combustivel,ESSENCIAL
5_transporte,conserto,ESSENCIAL
5_transporte,documento_veiculo,ESSENCIAL
5_transporte,emplacamento,ESSENCIAL
5_transporte,estacionamento,ESSENCIAL
5_transporte,estetica_automotiva,ESTILO_DE_VIDA
5_transporte,financiamento_veiculo,ESSENCIAL
5_transporte,ipva,ESSENCIAL
5_transporte,lavagem,ESSENCIAL
5_transporte,licenciamento,ESSENCIAL
5_transporte,manutencao,ESSENCIAL
5_transporte,metro_trem,ESSENCIAL
5_transporte,motocicleta,ESSENCIAL
5_transporte,multa,ESSENCIAL
5_transporte,oleo_lubrificante,ESSENCIAL
5_transporte,outros_transporte,ESSENCIAL
5_transporte,passagem_aerea,ESTILO_DE_VIDA
5_transporte,passagem_de_onibus,ESSENCIAL
5_transporte,passagem_diversas,ESSENCIAL
5_transporte,pedagios,ESSENCIAL
5_transporte,pintura_de_veiculo,ESTILO_DE_VIDA
5_transporte,pneu,ESSENCIAL
5_transporte,rastreador,ESSENCIAL
5_transporte,reparo,ESSENCIAL
5_transporte,revisao,ESSENCIAL
5_transporte,seguro_protecao,ESSENCIAL
5_transporte,seguro_obrigatorio,ESSENCIAL
5_transporte,servico_tag_app,ESSENCIAL
5_transporte,taxa_transferencia,ESSENCIAL
5_transporte,transporte_escolar,ESSENCIAL
5_transporte,transporte_p_aplicativo,ESSENCIAL
5_transporte,transporte_publico,ESSENCIAL
5_transporte,veiculo_proprio,ESSENCIAL
5_transporte,vistoria_veicular,ESSENCIAL
6_saude,cirurgia,ESSENCIAL
6_saude,cuidados_pessoais,ESSENCIAL
6_saude,dermatologico,ESSENCIAL
6_saude,dentista,ESSENCIAL
6_saude,exame,ESSENCIAL
6_saude,exame_de_imagem,ESSENCIAL
6_saude,fisioterapeuta,ESSENCIAL
6_saude,higiene_pessoal,ESSENCIAL
6_saude,hormonal,ESSENCIAL
6_saude,medico,ESSENCIAL
6_saude,oculos,ESSENCIAL
