nature,category,subcategory,category_sort_order,category_slug,subcategory_slug
RECEITA,13º Salário,,1,13o_salario,
RECEITA,14º Salário,,2,14o_salario,
RECEITA,Aluguel,,3,aluguel,
RECEITA,Ajuste,,4,ajuste,
RECEITA,Bico,,5,bico,
RECEITA,Bônus,,6,bonus,
RECEITA,Cashback,,7,cashback,
RECEITA,Crédito,,8,credito,
RECEITA,Crédito (outros),,9,credito_outros,
RECEITA,Desconto,,10,desconto,
RECEITA,Empréstimos,,11,emprestimos,
RECEITA,Estorno,,12,estorno,
RECEITA,Férias,,13,ferias,
RECEITA,Hora Extra,,14,hora_extra,
RECEITA,Investimentos,,15,investimentos,
RECEITA,Outras (receitas),,16,outras_receitas,
RECEITA,Participação nos Lucros,,17,participacao_nos_lucros,
RECEITA,Pensão,,18,pensao,
RECEITA,Pró-labore,,19,pro_labore,
RECEITA,Reembolso,,20,reembolso,
RECEITA,Recebimentos,,21,recebimentos,
RECEITA,Recebimentos de Terceiros,,22,recebimentos_de_terceiros,
RECEITA,Renda,,23,renda,
RECEITA,Renda Extra,,24,renda_extra,
RECEITA,Restituição de IR,,25,restituicao_de_ir,
RECEITA,Salário (líquido),,26,salario_liquido,
RECEITA,Salário + Férias (líquido),,27,salario_ferias_liquido,
RECEITA,Salário + 13º (líquido),,28,salario_13o_liquido,
RECEITA,Venda (outros),,29,venda_outros,
RECEITA,Voucher,,30,voucher,
DESPESA,1.Alimentação,Açougue,1,1_alimentacao,acougue
DESPESA,1.Alimentação,Barzinho,1,1_alimentacao,barzinho
DESPESA,1.Alimentação,Bebidas,1,1_alimentacao,bebidas
DESPESA,1.Alimentação,Bebidas (alcoólica),1,1_alimentacao,bebidas_alcoolica
DESPESA,1.Alimentação,Bebidas (outros),1,1_alimentacao,bebidas_outros
DESPESA,1.Alimentação,Bolo,1,1_alimentacao,bolo
DESPESA,1.Alimentação,Carne,1,1_alimentacao,carne
DESPESA,1.Alimentação,Café/Lanche,1,1_alimentacao,cafe_lanche
DESPESA,1.Alimentação,Cafeteria,1,1_alimentacao,cafeteria
DESPESA,1.Alimentação,Cerveja,1,1_alimentacao,cerveja
DESPESA,1.Alimentação,Chá,1,1_alimentacao,cha
DESPESA,1.Alimentação,Churrasco,1,1_alimentacao,churrasco
DESPESA,1.Alimentação,Comida Japonesa,1,1_alimentacao,comida_japonesa
DESPESA,1.Alimentação,Delivery,1,1_alimentacao,delivery
DESPESA,1.Alimentação,Doce,1,1_alimentacao,doce
DESPESA,1.Alimentação,Empório (diversos),1,1_alimentacao,emporio_diversos
DESPESA,1.Alimentação,Espetinho,1,1_alimentacao,espetinho
DESPESA,1.Alimentação,Frango Assado,1,1_alimentacao,frango_assado
DESPESA,1.Alimentação,Feira,1,1_alimentacao,feira
DESPESA,1.Alimentação,Lanche/Lanchonete,1,1_alimentacao,lanche_lanchonete
DESPESA,1.Alimentação,Marmita,1,1_alimentacao,marmita
DESPESA,1.Alimentação,Massas,1,1_alimentacao,massas
DESPESA,1.Alimentação,Oleaginosas,1,1_alimentacao,oleaginosas
DESPESA,1.Alimentação,Outros (alimentos),1,1_alimentacao,outros_alimentos
DESPESA,1.Alimentação,Outros (atualização),1,1_alimentacao,outros_atualizacao
DESPESA,1.Alimentação,Padaria,1,1_alimentacao,padaria
DESPESA,1.Alimentação,Pizza/Pizzaria,1,1_alimentacao,pizza_pizzaria
DESPESA,1.Alimentação,Refeição (almoço/janta),1,1_alimentacao,refeicao_almoco_janta
DESPESA,1.Alimentação,Restaurante,1,1_alimentacao,restaurante
DESPESA,1.Alimentação,Sorveteria,1,1_alimentacao,sorveteria
DESPESA,1.Alimentação,Supermercado,1,1_alimentacao,supermercado
DESPESA,1.Alimentação,Suplemento,1,1_alimentacao,suplemento
DESPESA,1.Alimentação,Varejão,1,1_alimentacao,varejao
DESPESA,1.Alimentação,Vinho,1,1_alimentacao,vinho
DESPESA,1.Alimentação,Ajuste,1,1_alimentacao,ajuste
DESPESA,2.Habitação,Água,2,2_habitacao,agua
DESPESA,2.Habitação,Aluguel,2,2_habitacao,aluguel
DESPESA,2.Habitação,Artigos de Limpeza,2,2_habitacao,artigos_de_limpeza
DESPESA,2.Habitação,Condomínio,2,2_habitacao,condominio
DESPESA,2.Habitação,Empregada/Diarista,2,2_habitacao,empregada_diarista
DESPESA,2.Habitação,Energia Elétrica,2,2_habitacao,energia_eletrica
DESPESA,2.Habitação,Financiamento,2,2_habitacao,financiamento
DESPESA,2.Habitação,Gás,2,2_habitacao,gas
DESPESA,2.Habitação,IPTU,2,2_habitacao,iptu
DESPESA,2.Habitação,Jardinagem,2,2_habitacao,jardinagem
DESPESA,2.Habitação,Manutenção/Reparo,2,2_habitacao,manutencao_reparo
DESPESA,2.Habitação,Mudança,2,2_habitacao,mudanca
DESPESA,2.Habitação,Outros (habitação),2,2_habitacao,outros_habitacao
DESPESA,2.Habitação,Reforma,2,2_habitacao,reforma
DESPESA,2.Habitação,Serviços de Limpeza,2,2_habitacao,servicos_de_limpeza
DESPESA,2.Habitação,Taxa de Água e Esgoto,2,2_habitacao,taxa_de_agua_e_esgoto
DESPESA,2.Habitação,Taxa de Energia Elétrica,2,2_habitacao,taxa_de_energia_eletrica
DESPESA,3.Art.Residência,Ap. Eletroeletrônicos,3,3_art_residencia,ap_eletroeletronicos
DESPESA,3.Art.Residência,Ar-condicionado,3,3_art_residencia,ar_condicionado
DESPESA,3.Art.Residência,Artigos de iluminação,3,3_art_residencia,artigos_de_iluminacao
DESPESA,3.Art.Residência,Artigos casa inteligênte,3,3_art_residencia,artigos_casa_inteligente
DESPESA,3.Art.Residência,"Cama, mesa e banho",3,3_art_residencia,cama_mesa_e_banho
DESPESA,3.Art.Residência,Chaveiro,3,3_art_residencia,chaveiro
DESPESA,3.Art.Residência,Chuveiro elétrico,3,3_art_residencia,chuveiro_eletrico
DESPESA,3.Art.Residência,Cofre,3,3_art_residencia,cofre
DESPESA,3.Art.Residência,Computador/notebook,3,3_art_residencia,computador_notebook
DESPESA,3.Art.Residência,Conserto de ap.celular,3,3_art_residencia,conserto_de_ap_celular
DESPESA,3.Art.Residência,Conserto de bicicleta,3,3_art_residencia,conserto_de_bicicleta
DESPESA,3.Art.Residência,Conserto Diversos,3,3_art_residencia,conserto_diversos
DESPESA,3.Art.Residência,Conserto de eletrônicos,3,3_art_residencia,conserto_de_eletronicos
DESPESA,3.Art.Residência,Cortina,3,3_art_residencia,cortina
DESPESA,3.Art.Residência,Elétrica/Hidráulica,3,3_art_residencia,eletrica_hidraulica
DESPESA,3.Art.Residência,Eletrodoméstico,3,3_art_residencia,eletrodomestico
DESPESA,3.Art.Residência,Ferramentas,3,3_art_residencia,ferramentas
DESPESA,3.Art.Residência,Flores artificiais,3,3_art_residencia,flores_artificiais
DESPESA,3.Art.Residência,Flores naturais,3,3_art_residencia,flores_naturais
DESPESA,3.Art.Residência,Fogão,3,3_art_residencia,fogao
DESPESA,3.Art.Residência,Fornecedor,3,3_art_residencia,fornecedor
DESPESA,3.Art.Residência,Fornecedor de metal,3,3_art_residencia,fornecedor_de_metal
DESPESA,3.Art.Residência,Informática,3,3_art_residencia,informatica
DESPESA,3.Art.Residência,Jardinagem,3,3_art_residencia,jardinagem
DESPESA,3.Art.Residência,Manutenção,3,3_art_residencia,manutencao
DESPESA,3.Art.Residência,Manutenção eletrônicos,3,3_art_residencia,manutencao_eletronicos
DESPESA,3.Art.Residência,Máquina de lavar roupa,3,3_art_residencia,maquina_de_lavar_roupa
DESPESA,3.Art.Residência,Materiais de construção,3,3_art_residencia,materiais_de_construcao
DESPESA,3.Art.Residência,Móvel,3,3_art_residencia,movel
DESPESA,3.Art.Residência,Outros,3,3_art_residencia,outros
DESPESA,3.Art.Residência,Pintura,3,3_art_residencia,pintura
DESPESA,3.Art.Residência,Reforma,3,3_art_residencia,reforma
DESPESA,3.Art.Residência,Reforma de estofado,3,3_art_residencia,reforma_de_estofado
DESPESA,3.Art.Residência,Reforma da residência,3,3_art_residencia,reforma_da_residencia
DESPESA,3.Art.Residência,Refrigerador,3,3_art_residencia,refrigerador
DESPESA,3.Art.Residência,Serralheria,3,3_art_residencia,serralheria
DESPESA,3.Art.Residência,Tapete,3,3_art_residencia,tapete
DESPESA,3.Art.Residência,Utensílios e enfeites,3,3_art_residencia,utensilios_e_enfeites
DESPESA,3.Art.Residência,Ventilador,3,3_art_residencia,ventilador
DESPESA,4.Vestuário,Acessórios,4,4_vestuario,acessorios
DESPESA,4.Vestuário,Artigos de Armarinho,4,4_vestuario,artigos_de_armarinho
DESPESA,4.Vestuário,Blusa,4,4_vestuario,blusa
DESPESA,4.Vestuário,Blusinha,4,4_vestuario,blusinha
DESPESA,4.Vestuário,Bolsa,4,4_vestuario,bolsa
DESPESA,4.Vestuário,Calça,4,4_vestuario,calca
DESPESA,4.Vestuário,Calçado,4,4_vestuario,calcado
DESPESA,4.Vestuário,Camiseta,4,4_vestuario,camiseta
DESPESA,4.Vestuário,Chinelo,4,4_vestuario,chinelo
DESPESA,4.Vestuário,Conserto em Sapataria,4,4_vestuario,conserto_em_sapataria
DESPESA,4.Vestuário,Cueca,4,4_vestuario,cueca
DESPESA,4.Vestuário,Joias/Bijuterias,4,4_vestuario,joias_bijuterias
DESPESA,4.Vestuário,Lingerie,4,4_vestuario,lingerie
DESPESA,4.Vestuário,Mochila,4,4_vestuario,mochila
DESPESA,4.Vestuário,Óculos,4,4_vestuario,oculos
DESPESA,4.Vestuário,Óculos de grau,4,4_vestuario,oculos_de_grau
DESPESA,4.Vestuário,Óculos de sol,4,4_vestuario,oculos_de_sol
DESPESA,4.Vestuário,Outros (vestuário),4,4_vestuario,outros_vestuario
DESPESA,4.Vestuário,Relógio de pulso,4,4_vestuario,relogio_de_pulso
DESPESA,4.Vestuário,Roupa Feminina,4,4_vestuario,roupa_feminina
DESPESA,4.Vestuário,Roupa Infantil,4,4_vestuario,roupa_infantil
DESPESA,4.Vestuário,Roupa Masculina,4,4_vestuario,roupa_masculina
DESPESA,4.Vestuário,Roupa (Diversos),4,4_vestuario,roupa_diversos
DESPESA,4.Vestuário,Sandália,4,4_vestuario,sandalia
DESPESA,4.Vestuário,Sapato,4,4_vestuario,sapato
DESPESA,4.Vestuário,Tecido,4,4_vestuario,tecido
DESPESA,4.Vestuário,Tênis,4,4_vestuario,tenis
DESPESA,4.Vestuário,Uniforme (outros),4,4_vestuario,uniforme_outros
DESPESA,4.Vestuário,Uniforme de Trabalho,4,4_vestuario,uniforme_de_trabalho
DESPESA,4.Vestuário,Uniforme Escolar,4,4_vestuario,uniforme_escolar
DESPESA,5.Transporte,Abastecimento,5,5_transporte,abastecimento
DESPESA,5.Transporte,Acessórios e peças,5,5_transporte,acessorios_e_pecas
DESPESA,5.Transporte,Aluguél de veículo,5,5_transporte,aluguel_de_veiculo
DESPESA,5.Transporte,Automóvel novo,5,5_transporte,automovel_novo
DESPESA,5.Transporte,Combustível,5,5_transporte,combustivel
DESPESA,5.Transporte,Conserto,5,5_transporte,conserto
DESPESA,5.Transporte,Documento veículo,5,5_transporte,documento_veiculo
DESPESA,5.Transporte,Emplacamento,5,5_transporte,emplacamento
DESPESA,5.Transporte,Estacionamento,5,5_transporte,estacionamento
DESPESA,5.Transporte,Estética Automotiva,5,5_transporte,estetica_automotiva
DESPESA,5.Transporte,Financiamento (veículo),5,5_transporte,financiamento_veiculo
DESPESA,5.Transporte,Ipva,5,5_transporte,ipva
